id,timestamp,location,current_speed_kmh,free_flow_speed_kmh,speed_ratio,traffic_level,confidence
1,2026-01-12 20:19:56,NGÃ 5 ĐỐNG ĐA,53.0,53.0,1.0,THOANG,1.0
2,2026-01-12 20:19:56,HOÀNG VĂN THỤ - TâY SƠN,39.0,49.0,0.8,DONG,0.990786
3,2026-01-12 20:19:56,VÒNG XOAY QUẢNG TRƯỜNG NTT,29.0,38.0,0.76,DONG,0.914126
4,2026-01-12 20:19:56,VÒNG XOAY NGUYỄN THÁI HỌC,29.0,39.0,0.74,DONG,0.94
5,2026-01-12 20:19:56,NGÃ 3 THÁP ĐÔI,30.0,39.0,0.77,DONG,0.92832
6,2026-01-12 20:19:56,NGUYỄN THỊ ĐỊNH - TRẦN QUANG KHẢI,38.0,49.0,0.78,DONG,0.990786
7,2026-01-12 20:19:56,NGUYỄN THÁI HỌC - LÊ DUẨN,19.0,37.0,0.51,DONG,0.99
8,2026-01-12 20:19:56,TĂNG BẠT HỔ - PHAN CHU TRINH,21.0,34.0,0.62,DONG,0.961674
9,2026-01-12 20:19:56,PHỐ ẨM THỰC PHAN BỘI CHÂU,30.0,40.0,0.75,DONG,0.928858
10,2026-01-12 20:19:56,HAI BÀ TRƯNG - LÊ THÁNH TÔNG,21.0,34.0,0.62,DONG,0.961674
11,2026-01-12 20:19:56,NGUYỄN HUỆ,30.0,40.0,0.75,DONG,0.928858
12,2026-01-12 20:19:56,CHU VĂN AN - NGUYỄN TẤT THÀNH,30.0,38.0,0.79,DONG,0.914126
13,2026-01-12 20:19:56,HÀ HUY TẬP - ĐÔ ĐỐC BẢO,28.0,39.0,0.72,DONG,0.94
14,2026-01-12 20:19:56,ĐẠI HỌC QUY NHƠN,30.0,38.0,0.79,DONG,0.914126
15,2026-01-12 20:19:56,VÕ THỊ YẾN - TRẦN VĂN ƠN,30.0,38.0,0.79,DONG,0.914126
16,2026-01-12 20:19:56,NGUYỄN TRUNG TÍN - AN DƯƠNG VƯƠNG,30.0,38.0,0.79,DONG,0.914126
17,2026-01-12 20:19:56,CHƯƠNG DƯƠNG - AN DƯƠNG VƯƠNG,30.0,38.0,0.79,DONG,0.914126
18,2026-01-12 20:19:56,NGUYỄN THỊ ĐỊNH -TRẦN VĂN ƠN,19.0,37.0,0.51,DONG,0.99
19,2026-01-12 20:19:56,TRƯỜNG TIỂU HỌC NGÔ MÂY,19.0,37.0,0.51,DONG,0.99
20,2026-01-12 20:19:56,THPT NGUYỄN THÁI HỌC,24.0,37.0,0.65,DONG,0.998034
21,2026-01-12 20:19:56,NGUYỄN TẤT THÀNH - LÊ HỒNG PHONG,28.0,39.0,0.72,DONG,0.94
22,2026-01-12 20:19:56,NGUYỄN THIỆP,23.0,23.0,1.0,THOANG,1.0
23,2026-01-12 20:19:56,BỆNH VIỆN ĐA KHOA TỈNH BÌNH ĐỊNH,21.0,34.0,0.62,DONG,0.961674
24,2026-01-12 20:19:56,NGỌC HÂN CÔNG CHÚA,30.0,40.0,0.75,DONG,0.928858
25,2026-01-12 20:19:56,DIÊN HỒNG - TRƯỜNG CHINH,19.0,37.0,0.51,DONG,0.99
26,2026-01-12 20:40:22,NGÃ 5 ĐỐNG ĐA,53.0,53.0,1.0,THOANG,1.0
27,2026-01-12 20:40:22,HOÀNG VĂN THỤ - TâY SƠN,49.0,49.0,1.0,THOANG,1.0
28,2026-01-12 20:40:22,VÒNG XOAY QUẢNG TRƯỜNG NTT,29.0,39.0,0.74,DONG,0.966472
29,2026-01-12 20:40:22,VÒNG XOAY NGUYỄN THÁI HỌC,39.0,39.0,1.0,THOANG,1.0
30,2026-01-12 20:40:22,NGÃ 3 THÁP ĐÔI,29.0,40.0,0.72,DONG,0.947508
31,2026-01-12 20:40:22,NGUYỄN THỊ ĐỊNH - TRẦN QUANG KHẢI,49.0,49.0,1.0,THOANG,1.0
32,2026-01-12 20:40:22,NGUYỄN THÁI HỌC - LÊ DUẨN,19.0,37.0,0.51,DONG,1.0
33,2026-01-12 20:40:22,TĂNG BẠT HỔ - PHAN CHU TRINH,22.0,34.0,0.65,DONG,0.939441
34,2026-01-12 20:40:22,PHỐ ẨM THỰC PHAN BỘI CHÂU,29.0,40.0,0.72,DONG,0.947508
35,2026-01-12 20:40:22,HAI BÀ TRƯNG - LÊ THÁNH TÔNG,22.0,34.0,0.65,DONG,0.939441
36,2026-01-12 20:40:22,NGUYỄN HUỆ,29.0,40.0,0.72,DONG,0.947508
37,2026-01-12 20:40:22,CHU VĂN AN - NGUYỄN TẤT THÀNH,29.0,38.0,0.76,DONG,0.966472
38,2026-01-12 20:40:22,HÀ HUY TẬP - ĐÔ ĐỐC BẢO,39.0,39.0,1.0,THOANG,1.0
39,2026-01-12 20:40:22,ĐẠI HỌC QUY NHƠN,29.0,38.0,0.76,DONG,0.966472
40,2026-01-12 20:40:22,VÕ THỊ YẾN - TRẦN VĂN ƠN,29.0,38.0,0.76,DONG,0.966472
41,2026-01-12 20:40:22,NGUYỄN TRUNG TÍN - AN DƯƠNG VƯƠNG,29.0,38.0,0.76,DONG,0.966472
42,2026-01-12 20:40:22,CHƯƠNG DƯƠNG - AN DƯƠNG VƯƠNG,29.0,38.0,0.76,DONG,0.966472
43,2026-01-12 20:40:22,NGUYỄN THỊ ĐỊNH -TRẦN VĂN ƠN,20.0,37.0,0.54,DONG,1.0
44,2026-01-12 20:40:22,TRƯỜNG TIỂU HỌC NGÔ MÂY,20.0,37.0,0.54,DONG,1.0
45,2026-01-12 20:40:22,THPT NGUYỄN THÁI HỌC,23.0,36.0,0.64,DONG,0.993347
46,2026-01-12 20:40:22,NGUYỄN TẤT THÀNH - LÊ HỒNG PHONG,39.0,39.0,1.0,THOANG,1.0
47,2026-01-12 20:40:22,NGUYỄN THIỆP,14.0,23.0,0.61,DONG,0.83
48,2026-01-12 20:40:22,BỆNH VIỆN ĐA KHOA TỈNH BÌNH ĐỊNH,23.0,34.0,0.68,DONG,0.935493
49,2026-01-12 20:40:22,NGỌC HÂN CÔNG CHÚA,29.0,39.0,0.74,DONG,0.946554
50,2026-01-12 20:40:22,DIÊN HỒNG - TRƯỜNG CHINH,20.0,37.0,0.54,DONG,1.0
51,2026-01-12 21:00:49,NGÃ 5 ĐỐNG ĐA,53.0,53.0,1.0,THOANG,1.0
52,2026-01-12 21:00:49,HOÀNG VĂN THỤ - TâY SƠN,49.0,49.0,1.0,THOANG,1.0
53,2026-01-12 21:00:49,VÒNG XOAY QUẢNG TRƯỜNG NTT,31.0,39.0,0.79,DONG,0.914124
54,2026-01-12 21:00:49,VÒNG XOAY NGUYỄN THÁI HỌC,30.0,39.0,0.77,DONG,0.954815
55,2026-01-12 21:00:49,NGÃ 3 THÁP ĐÔI,30.0,39.0,0.77,DONG,0.963799
56,2026-01-12 21:00:49,NGUYỄN THỊ ĐỊNH - TRẦN QUANG KHẢI,49.0,49.0,1.0,THOANG,1.0
57,2026-01-12 21:00:49,NGUYỄN THÁI HỌC - LÊ DUẨN,23.0,38.0,0.61,DONG,0.998109
58,2026-01-12 21:00:49,TĂNG BẠT HỔ - PHAN CHU TRINH,21.0,34.0,0.62,DONG,0.976567
59,2026-01-12 21:00:49,PHỐ ẨM THỰC PHAN BỘI CHÂU,30.0,39.0,0.77,DONG,0.963799
60,2026-01-12 21:00:49,HAI BÀ TRƯNG - LÊ THÁNH TÔNG,21.0,34.0,0.62,DONG,0.976567
61,2026-01-12 21:00:49,NGUYỄN HUỆ,30.0,39.0,0.77,DONG,0.963799
62,2026-01-12 21:00:49,CHU VĂN AN - NGUYỄN TẤT THÀNH,31.0,39.0,0.79,DONG,0.914124
63,2026-01-12 21:00:49,HÀ HUY TẬP - ĐÔ ĐỐC BẢO,30.0,39.0,0.77,DONG,0.954815
64,2026-01-12 21:00:49,ĐẠI HỌC QUY NHƠN,31.0,39.0,0.79,DONG,0.914124
65,2026-01-12 21:00:49,VÕ THỊ YẾN - TRẦN VĂN ƠN,31.0,39.0,0.79,DONG,0.914124
66,2026-01-12 21:00:49,NGUYỄN TRUNG TÍN - AN DƯƠNG VƯƠNG,31.0,39.0,0.79,DONG,0.914124
67,2026-01-12 21:00:49,CHƯƠNG DƯƠNG - AN DƯƠNG VƯƠNG,31.0,39.0,0.79,DONG,0.914124
68,2026-01-12 21:00:49,NGUYỄN THỊ ĐỊNH -TRẦN VĂN ƠN,23.0,38.0,0.61,DONG,0.998109
69,2026-01-12 21:00:49,TRƯỜNG TIỂU HỌC NGÔ MÂY,23.0,38.0,0.61,DONG,0.998109
70,2026-01-12 21:00:49,THPT NGUYỄN THÁI HỌC,20.0,38.0,0.53,DONG,0.989163
71,2026-01-12 21:00:49,NGUYỄN TẤT THÀNH - LÊ HỒNG PHONG,30.0,39.0,0.77,DONG,0.954815
72,2026-01-12 21:00:49,NGUYỄN THIỆP,17.0,22.0,0.77,DONG,0.58
73,2026-01-12 21:00:49,BỆNH VIỆN ĐA KHOA TỈNH BÌNH ĐỊNH,21.0,33.0,0.64,DONG,0.971968
74,2026-01-12 21:00:49,NGỌC HÂN CÔNG CHÚA,30.0,40.0,0.75,DONG,0.962052
75,2026-01-12 21:00:49,DIÊN HỒNG - TRƯỜNG CHINH,24.0,38.0,0.63,DONG,1.0
76,2026-01-12 21:21:11,NGÃ 5 ĐỐNG ĐA,53.0,53.0,1.0,THOANG,1.0
77,2026-01-12 21:21:11,HOÀNG VĂN THỤ - TâY SƠN,49.0,49.0,1.0,THOANG,1.0
78,2026-01-12 21:21:11,VÒNG XOAY QUẢNG TRƯỜNG NTT,30.0,39.0,0.77,DONG,0.93883
79,2026-01-12 21:21:11,VÒNG XOAY NGUYỄN THÁI HỌC,30.0,38.0,0.79,DONG,0.957958
80,2026-01-12 21:21:11,NGÃ 3 THÁP ĐÔI,29.0,39.0,0.74,DONG,0.926879
81,2026-01-12 21:21:11,NGUYỄN THỊ ĐỊNH - TRẦN QUANG KHẢI,49.0,49.0,1.0,THOANG,1.0
82,2026-01-12 21:21:11,NGUYỄN THÁI HỌC - LÊ DUẨN,23.0,37.0,0.62,DONG,0.99
83,2026-01-12 21:21:11,TĂNG BẠT HỔ - PHAN CHU TRINH,19.0,33.0,0.58,DONG,0.965873
